Updated at 14:28:09,,,
,,Timestamp,Close Price
,.FTSE,10/4/2013,6453.88
,.FTSE,10/7/2013,6437.28
,.FTSE,10/8/2013,6365.83
,.FTSE,10/9/2013,6337.91
,.FTSE,10/10/2013,6430.49
,.FTSE,10/11/2013,6487.19
,.FTSE,10/14/2013,6507.65
,.FTSE,10/15/2013,6549.11
,.FTSE,10/16/2013,6571.59
,.FTSE,10/17/2013,6576.16
,.FTSE,10/18/2013,6622.58
,.FTSE,10/21/2013,6654.2
,.FTSE,10/22/2013,6695.66
,.FTSE,10/23/2013,6674.48
,.FTSE,10/24/2013,6713.18
,.FTSE,10/25/2013,6721.34
,.FTSE,10/28/2013,6725.82
,.FTSE,10/29/2013,6774.73
,.FTSE,10/30/2013,6777.7
,.FTSE,10/31/2013,6731.43
,.FTSE,11/1/2013,6734.74
,.FTSE,11/4/2013,6763.62
,.FTSE,11/5/2013,6746.84
,.FTSE,11/6/2013,6741.69
,.FTSE,11/7/2013,6697.22
,.FTSE,11/8/2013,6708.42
,.FTSE,11/11/2013,6728.37
,.FTSE,11/12/2013,6726.79
,.FTSE,11/13/2013,6630
,.FTSE,11/14/2013,6666.13
,.FTSE,11/15/2013,6693.44
,.FTSE,11/18/2013,6723.46
,.FTSE,11/19/2013,6698.01
,.FTSE,11/20/2013,6681.08
,.FTSE,11/21/2013,6681.33
,.FTSE,11/22/2013,6674.3
,.FTSE,11/25/2013,6694.62
,.FTSE,11/26/2013,6636.22
,.FTSE,11/27/2013,6649.47
,.FTSE,11/28/2013,6654.47
,.FTSE,11/29/2013,6650.57
,.FTSE,12/2/2013,6595.33
,.FTSE,12/3/2013,6532.43
,.FTSE,12/4/2013,6509.97
,.FTSE,12/5/2013,6498.33
,.FTSE,12/6/2013,6551.99
,.FTSE,12/9/2013,6559.48
,.FTSE,12/10/2013,6523.31
,.FTSE,12/11/2013,6507.72
,.FTSE,12/12/2013,6445.25
,.FTSE,12/13/2013,6439.96
,.FTSE,12/16/2013,6522.2
,.FTSE,12/17/2013,6486.19
,.FTSE,12/18/2013,6492.08
